"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Firearms","Ilocos Sur","2017-31",66,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-32",67,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-33",68,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-34",69,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-35",70,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-36",71,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-37",72,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-38",73,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-39",74,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-40",75,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-41",76,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-42",77,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-43",78,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-44",79,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-45",80,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-46",81,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-47",82,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-48",83,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-49",84,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-50",85,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-51",86,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-52",87,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-01",88,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-02",89,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-03",90,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-04",91,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-05",92,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-06",93,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-07",94,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-08",95,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-09",96,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-10",97,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-11",98,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-12",99,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-13",100,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-14",101,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-15",102,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-16",103,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-17",104,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-18",105,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-19",106,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-20",107,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-21",108,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-22",109,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-23",110,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-24",111,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-25",112,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-26",113,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-27",114,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-28",115,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-29",116,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-30",117,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-31",118,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-32",119,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-33",120,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-34",121,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-35",122,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-36",123,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-37",124,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-38",125,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-39",126,NA,NA,NA,NA,NA,NA,NA
