"prov","type","signif_week"
"Negros Oriental","Pneumonia","2019-18"
"Negros Oriental","Pneumonia","2019-19"
"Negros Oriental","Pneumonia","2019-20"
"Negros Oriental","Pneumonia","2019-21"
"Leyte","Pneumonia","2016-34"
"Leyte","Pneumonia","2016-35"
"Leyte","Pneumonia","2016-36"
"Leyte","Pneumonia","2016-37"
"Leyte","Pneumonia","2016-38"
"Leyte","Pneumonia","2016-39"
"Leyte","Pneumonia","2016-40"
"Leyte","Pneumonia","2016-41"
"Leyte","Pneumonia","2016-42"
"Leyte","Pneumonia","2016-43"
"Leyte","Pneumonia","2016-44"
"Leyte","Pneumonia","2016-45"
"Southern Leyte","Pneumonia","2017-37"
"Zamboanga del Norte","Pneumonia","2016-43"
"Zamboanga del Norte","Pneumonia","2016-44"
"Zamboanga del Norte","Pneumonia","2016-45"
"Zamboanga del Norte","Pneumonia","2016-46"
"Zamboanga del Sur","Pneumonia","2016-44"
"Zamboanga del Sur","Pneumonia","2017-15"
"Misamis Oriental","Pneumonia","2018-35"
"Misamis Oriental","Pneumonia","2018-36"
"Misamis Oriental","Pneumonia","2018-37"
"Misamis Oriental","Pneumonia","2018-38"
"Misamis Oriental","Pneumonia","2018-39"
"Misamis Oriental","Pneumonia","2018-40"
"Misamis Oriental","Pneumonia","2018-41"
"Misamis Oriental","Pneumonia","2018-42"
"Misamis Oriental","Pneumonia","2018-43"
"Misamis Oriental","Pneumonia","2018-44"
"Misamis Oriental","Pneumonia","2018-45"
"Davao del Norte","Pneumonia","2016-19"
"Davao del Norte","Pneumonia","2016-20"
"Davao del Norte","Pneumonia","2016-21"
"Davao del Norte","Pneumonia","2016-22"
"Davao del Norte","Pneumonia","2016-23"
"Davao del Norte","Pneumonia","2016-24"
"Davao del Norte","Pneumonia","2016-25"
"Davao del Norte","Pneumonia","2016-26"
"Davao del Norte","Pneumonia","2016-27"
"Davao del Norte","Pneumonia","2016-28"
"Davao del Norte","Pneumonia","2016-29"
"Davao del Norte","Pneumonia","2016-30"
"Davao del Norte","Pneumonia","2016-31"
"Davao del Norte","Pneumonia","2016-32"
"Davao del Norte","Pneumonia","2016-33"
"Davao del Norte","Pneumonia","2016-34"
"Davao del Norte","Pneumonia","2016-35"
"Davao del Norte","Pneumonia","2016-36"
"Davao del Norte","Pneumonia","2016-37"
"Davao del Norte","Pneumonia","2016-38"
"Davao del Norte","Pneumonia","2016-39"
"Davao del Norte","Pneumonia","2016-40"
"Davao del Norte","Pneumonia","2016-41"
"Davao del Norte","Pneumonia","2016-42"
"Davao del Norte","Pneumonia","2016-43"
"Davao del Norte","Pneumonia","2016-44"
"Davao del Norte","Pneumonia","2016-45"
"Davao del Norte","Pneumonia","2016-46"
"Davao del Norte","Pneumonia","2016-47"
"Davao del Norte","Pneumonia","2016-48"
"Davao del Norte","Pneumonia","2016-49"
"Davao del Norte","Pneumonia","2016-50"
"Davao del Norte","Pneumonia","2016-51"
"Davao del Norte","Pneumonia","2016-52"
"Davao del Norte","Pneumonia","2017-01"
"Davao del Norte","Pneumonia","2017-02"
"Davao del Norte","Pneumonia","2017-03"
"Davao del Norte","Pneumonia","2017-04"
"Davao del Norte","Pneumonia","2017-05"
"Davao del Norte","Pneumonia","2017-06"
"Davao del Norte","Pneumonia","2017-07"
"Davao del Norte","Pneumonia","2017-08"
"Davao del Norte","Pneumonia","2017-09"
"Davao del Norte","Pneumonia","2017-10"
"Davao del Norte","Pneumonia","2017-11"
"Davao del Norte","Pneumonia","2017-12"
"Davao del Norte","Pneumonia","2017-13"
"Davao del Norte","Pneumonia","2017-14"
"Davao del Norte","Pneumonia","2017-15"
"Davao del Norte","Pneumonia","2017-16"
"Davao del Norte","Pneumonia","2017-32"
"Davao del Norte","Pneumonia","2017-33"
"Davao del Norte","Pneumonia","2017-34"
"Davao del Norte","Pneumonia","2017-35"
"Davao del Norte","Pneumonia","2017-36"
"Davao del Sur","Pneumonia","2016-19"
"Davao del Sur","Pneumonia","2016-20"
"Davao del Sur","Pneumonia","2016-21"
"Davao del Sur","Pneumonia","2016-22"
"Davao del Sur","Pneumonia","2016-23"
"Davao del Sur","Pneumonia","2016-24"
"Davao del Sur","Pneumonia","2016-25"
"Davao del Sur","Pneumonia","2016-26"
"Davao del Sur","Pneumonia","2016-27"
"Davao del Sur","Pneumonia","2016-28"
"Davao del Sur","Pneumonia","2016-29"
"Davao del Sur","Pneumonia","2016-30"
"Davao del Sur","Pneumonia","2016-31"
"Davao del Sur","Pneumonia","2016-32"
"Davao del Sur","Pneumonia","2016-33"
"Davao del Sur","Pneumonia","2016-34"
"Davao Oriental","Pneumonia","2017-51"
"Davao Oriental","Pneumonia","2017-52"
"Davao Oriental","Pneumonia","2018-01"
"Davao Oriental","Pneumonia","2018-02"
"Davao Oriental","Pneumonia","2018-03"
"South Cotabato","Pneumonia","2016-19"
"South Cotabato","Pneumonia","2016-20"
"South Cotabato","Pneumonia","2016-21"
"South Cotabato","Pneumonia","2016-22"
"South Cotabato","Pneumonia","2016-23"
"South Cotabato","Pneumonia","2016-24"
"South Cotabato","Pneumonia","2016-25"
"South Cotabato","Pneumonia","2016-26"
"South Cotabato","Pneumonia","2016-27"
"South Cotabato","Pneumonia","2016-28"
"South Cotabato","Pneumonia","2016-29"
"South Cotabato","Pneumonia","2016-30"
"South Cotabato","Pneumonia","2016-31"
"South Cotabato","Pneumonia","2016-32"
"South Cotabato","Pneumonia","2016-33"
"South Cotabato","Pneumonia","2016-34"
"South Cotabato","Pneumonia","2016-35"
"South Cotabato","Pneumonia","2016-36"
"South Cotabato","Pneumonia","2016-37"
"South Cotabato","Pneumonia","2016-38"
"South Cotabato","Pneumonia","2016-39"
"South Cotabato","Pneumonia","2016-40"
"South Cotabato","Pneumonia","2016-41"
"South Cotabato","Pneumonia","2018-40"
"South Cotabato","Pneumonia","2018-41"
"South Cotabato","Pneumonia","2018-42"
"South Cotabato","Pneumonia","2018-43"
"Sarangani","Pneumonia","2018-06"
"Sarangani","Pneumonia","2018-23"
"National Capital Region","Pneumonia","2016-19"
"National Capital Region","Pneumonia","2016-20"
"National Capital Region","Pneumonia","2016-21"
"National Capital Region","Pneumonia","2016-22"
"National Capital Region","Pneumonia","2016-23"
"National Capital Region","Pneumonia","2016-24"
"National Capital Region","Pneumonia","2016-25"
"National Capital Region","Pneumonia","2016-26"
"National Capital Region","Pneumonia","2016-27"
"National Capital Region","Pneumonia","2016-28"
"National Capital Region","Pneumonia","2016-29"
"National Capital Region","Pneumonia","2016-30"
"National Capital Region","Pneumonia","2016-31"
"National Capital Region","Pneumonia","2016-32"
"National Capital Region","Pneumonia","2016-33"
"National Capital Region","Pneumonia","2016-34"
"National Capital Region","Pneumonia","2016-35"
"National Capital Region","Pneumonia","2016-36"
"National Capital Region","Pneumonia","2016-37"
"National Capital Region","Pneumonia","2016-38"
"National Capital Region","Pneumonia","2016-39"
"National Capital Region","Pneumonia","2016-40"
"National Capital Region","Pneumonia","2016-41"
"National Capital Region","Pneumonia","2016-42"
"National Capital Region","Pneumonia","2016-43"
"National Capital Region","Pneumonia","2016-44"
"National Capital Region","Pneumonia","2016-45"
"National Capital Region","Pneumonia","2016-46"
"National Capital Region","Pneumonia","2016-47"
"National Capital Region","Pneumonia","2016-48"
"National Capital Region","Pneumonia","2016-49"
"National Capital Region","Pneumonia","2016-50"
"National Capital Region","Pneumonia","2016-51"
"National Capital Region","Pneumonia","2016-52"
"National Capital Region","Pneumonia","2017-01"
"National Capital Region","Pneumonia","2017-02"
"National Capital Region","Pneumonia","2017-03"
"National Capital Region","Pneumonia","2017-04"
"National Capital Region","Pneumonia","2017-05"
"National Capital Region","Pneumonia","2017-06"
"National Capital Region","Pneumonia","2017-07"
"National Capital Region","Pneumonia","2017-08"
"National Capital Region","Pneumonia","2017-09"
"National Capital Region","Pneumonia","2017-10"
"National Capital Region","Pneumonia","2017-11"
"National Capital Region","Pneumonia","2017-12"
"National Capital Region","Pneumonia","2017-13"
"National Capital Region","Pneumonia","2017-14"
"National Capital Region","Pneumonia","2017-15"
"National Capital Region","Pneumonia","2017-16"
"National Capital Region","Pneumonia","2017-17"
"National Capital Region","Pneumonia","2017-18"
"National Capital Region","Pneumonia","2017-19"
"National Capital Region","Pneumonia","2017-20"
"National Capital Region","Pneumonia","2017-21"
"National Capital Region","Pneumonia","2017-22"
"National Capital Region","Pneumonia","2017-23"
"National Capital Region","Pneumonia","2017-24"
"National Capital Region","Pneumonia","2017-25"
"National Capital Region","Pneumonia","2017-26"
"National Capital Region","Pneumonia","2017-27"
"National Capital Region","Pneumonia","2017-28"
"National Capital Region","Pneumonia","2017-29"
"National Capital Region","Pneumonia","2017-30"
"National Capital Region","Pneumonia","2017-31"
"National Capital Region","Pneumonia","2017-32"
"National Capital Region","Pneumonia","2017-33"
"National Capital Region","Pneumonia","2017-34"
