"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Other Causes","South Cotabato","2017-27",62,1.04520877653255,0.985303819849947,1.10875586243749,81,3.50352100112014,-1.1560182668662,8.06428112546396
"Other Causes","South Cotabato","2017-28",63,1.05333888644223,0.995488519741256,1.11455108490828,95,4.81060205526726,-0.339669218137452,9.94921973980917
"Other Causes","South Cotabato","2017-29",64,1.06228059104415,1.00635401739722,1.12131519783429,101,5.92154252698522,1.0174085672594,11.1708249114186
"Other Causes","South Cotabato","2017-30",65,1.07205344078681,1.01743562359478,1.12960324294736,116,7.79643888380755,2.67276760893629,13.4763636521238
"Other Causes","South Cotabato","2017-31",66,1.08256252168512,1.02800756594194,1.14001263432668,83,6.33006331052151,2.62275039859797,10.3074527827337
"Other Causes","South Cotabato","2017-32",67,1.09229983207589,1.03636021537811,1.15125890153716,116,9.80205270237531,4.48118092209636,15.2100576756379
"Other Causes","South Cotabato","2017-33",68,1.10076925657314,1.04253795774503,1.16225308365504,105,9.6121615651944,4.5759623982128,14.7183365161114
"Other Causes","South Cotabato","2017-34",69,1.10794005095656,1.0470529078342,1.17236784056379,124,12.0805871283895,5.81873839847487,18.3729734144167
"Other Causes","South Cotabato","2017-35",70,1.11378605975893,1.05030396619586,1.18110511512816,112,11.4420885243965,5.51356130806441,17.2272071937847
"Other Causes","South Cotabato","2017-36",71,1.11828587519668,1.05257415164254,1.18809995164037,120,12.6929127322698,6.0227299069174,19.0373464289293
"Other Causes","South Cotabato","2017-37",72,1.12142296777068,1.05405180413857,1.1931002515302,118,12.776544273409,6.02812693240101,19.0950740309923
"Other Causes","South Cotabato","2017-38",73,1.12318578742253,1.05485319354729,1.19594491516456,96,10.5288330078509,4.82834092118379,15.7026378706812
"Other Causes","South Cotabato","2017-39",74,1.12356783437994,1.05503891128641,1.19654798031474,121,13.3073478097777,6.19039942483996,19.9499688153215
"Other Causes","South Cotabato","2017-40",75,1.12256769908294,1.05462286050429,1.19488993290152,103,11.2460682913435,5.17034704125766,16.8363786226365
"Other Causes","South Cotabato","2017-41",76,1.12018907084803,1.05357423187126,1.19101579792691,118,12.660639823357,5.75396104522975,18.9143940252556
"Other Causes","South Cotabato","2017-42",77,1.11644071519539,1.05181259307125,1.18503988139792,115,11.9940826818791,5.41369737042404,17.9822382182259
"Other Causes","South Cotabato","2017-43",78,1.11133642003438,1.04919562482335,1.17715763321332,124,12.4226254403105,5.56012118975972,18.6392817565048
"Other Causes","South Cotabato","2017-44",79,1.10489491116958,1.04549922407623,1.16766491702286,106,10.0632743182842,4.20047197865867,15.1319726477434
"Other Causes","South Cotabato","2017-45",80,1.09713973785203,1.04039275906522,1.15698191273029,93,8.23413400185988,3.36663755283919,12.421983657949
"Other Causes","South Cotabato","2017-46",81,1.08809912935444,1.03342217394227,1.14566896778047,105,8.50143919121078,2.96199501831152,13.2417342940435
"Other Causes","South Cotabato","2017-47",82,1.07783728615205,1.0240637231745,1.13443449770718,116,8.37707630793894,2.31837964654861,13.7168455732273
"Other Causes","South Cotabato","2017-48",83,1.06782313326375,1.01346348371586,1.12509849861834,105,6.66910911634578,1.16070958874052,11.6230969889491
"Other Causes","South Cotabato","2017-49",84,1.05882396492232,1.00291401061584,1.11785075971309,109,6.05559789818651,0.191891473992319,11.5407594823847
"Other Causes","South Cotabato","2017-50",85,1.05081560811539,0.992956880957337,1.11204571259361,115,5.56119921339101,-1.00102327366168,11.5777653178937
"Other Causes","South Cotabato","2017-51",86,1.0437766633912,0.983978631317069,1.10720872218719,123,5.15869896882333,-1.91282636529462,12.0064633076674
"Other Causes","South Cotabato","2017-52",87,1.03768840954417,0.976230113983826,1.10301579502408,104,3.77723655438711,-2.44207067877978,9.8699936564588
"Other Causes","South Cotabato","2018-01",88,1.03253472061323,0.969862506005299,1.09925679430896,113,3.56058092372107,-3.47113570159329,10.2278808236345
"Other Causes","South Cotabato","2018-02",89,1.02830199467755,0.964958295514129,1.09580382610676,88,2.42202732710413,-3.13894507323771,7.49363307289082
"Other Causes","South Cotabato","2018-03",90,1.02497909400948,0.961552089864146,1.09258994310431,100,2.43703448738363,-3.88115751835816,8.30210470817626
"Other Causes","South Cotabato","2018-04",91,1.02255729621586,0.959641934788438,1.0895974697842,91,2.00743172362072,-3.57625231610765,7.36342985841265
"Other Causes","South Cotabato","2018-05",92,1.02103025606765,0.959192608604497,1.08685447995922,107,2.20388904820987,-4.22195428069667,8.47886554992922
"Other Causes","South Cotabato","2018-06",93,1.02039397778387,0.960131530962729,1.0844387839795,109,2.17851499209158,-4.16345029846907,8.42935321737343
"Other Causes","South Cotabato","2018-07",94,1.02064679760043,0.962336875812217,1.08248983452161,104,2.10382960637577,-3.92723145872178,7.80939531213166
"Other Causes","South Cotabato","2018-08",95,1.02178937651717,0.965617016592922,1.08122942328334,99,2.1111476834417,-3.52435941631347,7.355352007392
"Other Causes","South Cotabato","2018-09",96,1.02382470317907,0.96968215914286,1.08099031518355,108,2.51319189246934,-3.22399292989398,8.0103479100439
"Other Causes","South Cotabato","2018-10",97,1.02675810690902,0.974116490705691,1.08224449556301,92,2.39759084351461,-2.3032826063055,6.95212494043077
"Other Causes","South Cotabato","2018-11",98,1.03059728097181,0.978376148752241,1.08560573241801,113,3.35484365585984,-2.56494741140624,8.78081083504594
"Other Causes","South Cotabato","2018-12",99,1.03447437121407,0.981234329070509,1.09060312403913,106,3.5325025446522,-1.93948030170988,8.60757988564232
