"prov","signif_week"
"Negros Oriental","2017-36"
"Negros Oriental","2017-37"
"Negros Oriental","2018-45"
"Negros Oriental","2018-46"
"Negros Oriental","2018-47"
"Negros Oriental","2018-48"
"Negros Oriental","2018-49"
"Negros Oriental","2018-50"
"Negros Oriental","2018-51"
"Negros Oriental","2018-52"
"Negros Oriental","2019-01"
"Negros Oriental","2019-02"
"Negros Oriental","2019-03"
"Negros Oriental","2019-04"
"Negros Oriental","2019-05"
"Negros Oriental","2019-06"
"Negros Oriental","2019-07"
"Negros Oriental","2019-08"
"Negros Oriental","2019-09"
"Negros Oriental","2019-10"
"Negros Oriental","2019-11"
"Negros Oriental","2019-12"
"Negros Oriental","2019-13"
"Negros Oriental","2019-14"
"Negros Oriental","2019-15"
"Negros Oriental","2019-16"
"Negros Oriental","2019-17"
